ID,active_member,age,credit_score,estimated_salary,products_number,tenure,churn
0,0,26,700,50051.42,2,2,0
1,0,47,689,176188.79324462274,2,3,1
2,1,74,617,53949.98,2,10,0
3,0,35,585,13523.872357948663,1,4,1
4,0,50,702,94949.84,2,3,0
5,0,29,590,121846.81,2,4,0
6,0,27,769,171344.09,1,7,0
7,0,51,751,146411.41,1,7,1
8,1,32,688,177607.77,2,5,0
9,1,20,714,150465.93,2,3,0
10,0,46,568,133608.46068458736,1,8,1
11,0,41,687,158408.23,1,2,0
12,0,51,631,54704.911357166544,1,1,1
13,0,31,666,4050.57,1,2,0
14,0,44,739,156545.43563129552,1,5,1
15,0,34,433,19687.99,1,9,0
16,0,32,680,116957.6,1,5,0
17,1,23,850,62980.96,1,9,0
18,1,42,643,187538.5098027141,2,4,1
19,1,29,768,73686.75,2,2,0
20,0,49,581,132263.05300139033,1,8,1
21,0,40,707,189366.03,1,3,0
22,0,49,608,6704.852582228066,1,0,1
23,1,22,674,173940.59,1,3,0
24,1,45,559,169781.45,1,8,1
25,0,39,611,174921.91451876648,1,7,1
26,0,45,661,17339.428402780464,1,4,1
27,0,34,647,54259.358971597765,1,5,1
28,0,52,521,53793.1,3,5,1
29,0,42,603,144675.3,1,8,1
30,0,45,628,193903.06,2,8,0
31,0,50,761,185558.1257864468,1,0,1
32,1,62,547,85153.0,2,10,0
33,1,30,544,80676.83,1,8,0
34,1,65,778,77867.23,1,7,0
35,1,33,644,43943.09,1,7,0
36,0,47,750,54473.6,2,7,1
37,0,37,619,12787.272313467189,1,6,1
38,0,25,650,16649.31,3,3,1
39,1,35,771,130901.35965907988,2,1,1
40,0,51,421,170057.73749153418,1,4,1
41,1,28,499,22001.91,1,4,0
42,0,33,565,105642.43,2,8,0
43,1,36,574,8559.66,2,3,0
44,0,40,672,114187.94924179028,1,1,1
45,1,38,696,8018.49,1,6,0
46,1,29,681,52021.39,1,2,0
47,1,78,655,188435.38,2,2,0
48,0,29,593,34004.44,1,2,0
49,0,38,559,22582.258310452387,1,9,1
50,0,34,716,147724.34385729302,1,3,1
51,0,27,455,70774.97,2,5,0
